"","assessor","track"
"1",1,"Reggaetón Lento (Bailemos)"
"2",2,"Chantaje"
"3",3,"Otra Vez (feat. J Balvin)"
"4",4,"Vente Pa' Ca"
"5",5,"Safari"
"6",6,"La Bicicleta"
"7",7,"Ay Mi Dios"
"8",8,"Andas En Mi Cabeza"
"9",9,"Traicionera"
"10",10,"Shaky Shaky"
"11",11,"Vacaciones"
"12",12,"Dile Que Tu Me Quieres"
"13",13,"Let Me Love You"
"14",14,"DUELE EL CORAZON"
"15",15,"Chillax"
"16",16,"Borro Cassette"
"17",17,"One Dance"
"18",18,"Closer"
"19",19,"Starboy"
"20",20,"Desde Esa Noche"
"21",21,"Don't Wanna Know"
"22",22,"La Gozadera"
"23",23,"24K Magic"
"24",24,"Me Llamas (feat. Maluma) - Remix"
"25",25,"Cuatro Babys"
"26",26,"My Way"
"27",27,"Gyal You A Party Animal"
"28",28,"Baila Conmigo"
"29",29,"Gyal You A Party Animal - Remix"
"30",30,"We Don't Talk Anymore (feat. Selena Gomez)"
"31",31,"Por Fin Te Encontré"
"32",32,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")"
"33",33,"Bailame Despacio"
"34",34,"I Took A Pill In Ibiza - Seeb Remix"
"35",35,"Hasta el Amanecer"
"36",36,"Cold Water (feat. Justin Bieber & MØ)"
"37",37,"Bobo"
"38",38,"Ya Me Enteré (feat. Nicky Jam) - Urban Version"
"39",39,"In the Name of Love"
"40",40,"Don't Let Me Down"
"41",41,"Cheap Thrills"
"42",42,"Fuego"
"43",43,"Tan Fácil"
"44",44,"Rockabye (feat. Sean Paul & Anne-Marie)"
"45",45,"Treat You Better"
"46",46,"Enamorándonos"
"47",47,"Te Vas"
"48",48,"No Quiere Enamorarse (Remix) [feat. Daddy Yankee]"
"49",49,"Te Quiero Pa´Mi"
"50",50,"Heathens"
"51",51,"Hasta Que Se Seque el Malecón - Remix"
"52",52,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)"
"53",53,"Deja Que Te Bese"
"54",54,"Side To Side"
"55",55,"Manicomio"
"56",56,"Ruleta Rusa"
"57",57,"I Feel It Coming"
"58",58,"Ginza"
"59",59,"Work"
"60",60,"Cake By The Ocean"
"61",61,"Picky"
"62",62,"Light It Up (feat. Nyla & Fuse ODG) - Remix"
"63",63,"This Is What You Came For"
"64",64,"Bailando - Spanish Version"
"65",65,"Corazon De Seda (feat. Ozuna)"
"66",66,"El Perdón"
"67",67,"El Perdedor"
"68",68,"Traicionera - Remix"
"69",69,"Encantadora"
"70",70,"Ride"
"71",71,"Love Yourself"
"72",72,"Encantadora - Remix"
"73",73,"Materialista"
"74",74,"Me Voy Enamorando - Remix"
"75",75,"Vivir Mi Vida"
"76",76,"Faded"
"77",77,"Work from Home"
"78",78,"El Perdedor - The Remix"
"79",79,"Stressed Out"
"80",80,"De Pies a Cabeza"
"81",81,"Quisiera"
"82",82,"Te Busco (feat. Nicky Jam)"
"83",83,"Perfect Strangers"
"84",84,"Hymn For The Weekend - Seeb Remix"
"85",85,"El Chisme"
"86",86,"Noche Loca"
"87",87,"La Bicicleta - Remix"
"88",88,"La Mordidita"
"89",89,"La Ocasion (feat. Arcangel, Ozuna & Anuel Aa)"
"90",90,"Sin Contrato"
"91",91,"Locuras contigo"
"92",92,"Mi Tesoro (feat. Nicky Jam)"
"93",93,"Trumpets"
"94",94,"Me Rehúso"
"95",95,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]"
"96",96,"Nota de Amor"
"97",97,"Me Ama Me Odia"
"98",98,"Valió la Pena - Salsa Version"
"99",99,"Me llamas"
"100",100,"Time of Our Lives"
"101",101,"Se Acabó"
"102",102,"Que Raro"
"103",103,"The Greatest"
"104",104,"Quiero Que Sepas"
"105",105,"Just Hold On"
"106",106,"Photograph"
"107",107,"Pa Que Me Invitan - Spanglish Version"
"108",108,"Acércate (feat. Nicky Jam) - Remix"
"109",109,"Andas En Mi Cabeza - Remix"
"110",110,"Sorry"
"111",111,"Black Beatles"
"112",112,"Sofia"
"113",113,"Como Yo Le Doy - Spanglish Version"
"114",114,"Middle"
"115",115,"Obsesionado"
"116",116,"Danza Kuduro"
"117",117,"Thinking Out Loud"
"118",118,"Traidora"
"119",119,"Para Enamorarte"
"120",120,"This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners"
"121",121,"Lean On (feat. MØ & DJ Snake)"
"122",122,"Bajo el agua"
"123",123,"Sugar"
"124",124,"Me Reclama"
"125",125,"7 Years"
"126",126,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""
"127",127,"Una y otra vez"
"128",128,"Ya Me Enteré"
"129",129,"Amor y dolor"
"130",130,"Si No Te Quisiera"
"131",131,"Suavemente"
"132",132,"Hello"
"133",133,"Dueles"
"134",134,"Starving"
